done,#,term_ar,id,category,handshape,location,motion,orientation,hands,target,recorded,remaining,warning,notes
,1,السلام عليكم,salam,تحيّات ومجاملات,كف مسطّح,الجبهة,قوسية,للأمام,1,30,0,30,,
✔,2,أهلاً,hello,تحيّات ومجاملات,كف مفتوح,الكتف,تلويح,للأمام,1,30,30,0,,
,3,صباح الخير,morning,تحيّات ومجاملات,كف مسطّح,أمام الجسم,لأعلى,لأعلى,2,30,0,30,,
,4,مساء الخير,evening,تحيّات ومجاملات,كف مسطّح,أمام الجسم,لأسفل,لأسفل,2,30,0,30,,
,5,مع السلامة,goodbye,تحيّات ومجاملات,كف مفتوح,نحو المخاطَب,تلويح,للأمام,1,30,0,30,,
,6,شكراً,thanks,تحيّات ومجاملات,أطراف الأصابع,الذقن,للأمام,نحو الجسم,1,30,0,30,,
✔,7,آسف,sorry,تحيّات ومجاملات,قبضة,الصدر,دائرية,نحو الجسم,1,30,30,0,,
,8,عفواً,excuse,تحيّات ومجاملات,كف مسطّح,الصدر,للأمام,لأعلى,1,30,0,30,,
✔,9,لو سمحت,please,تحيّات ومجاملات,كف مسطّح,الصدر,دائرية,لأعلى,1,30,30,0,,
,10,تشرفنا,welcome,تحيّات ومجاملات,كف مفتوح,الصدر,انفتاح,لأعلى,2,30,0,30,,
,11,مَن؟,q_who,أسئلة,سبابة,الذقن,دائرية,نحو الجسم,1,30,0,30,,
,12,ماذا؟,q_what,أسئلة,كف مفتوح,أمام الجسم,اهتزاز,لأعلى,2,30,0,30,,
,13,أين؟,q_where,أسئلة,سبابة,أمام الجسم,جانبية,للأمام,1,30,0,30,,
,14,متى؟,q_when,أسئلة,سبابة,معصم اليد الأخرى,نقر,لأسفل,1,30,0,30,,
,15,لماذا؟,q_why,أسئلة,سبابة,الصدغ,للأمام,نحو الجسم,1,30,0,30,,
,16,كيف؟,q_how,أسئلة,كف مقوّس,أمام الجسم,دائرية,لأعلى,2,30,0,30,,
,17,كم؟,q_howmuch,أسئلة,إبهام+سبابة,أمام الجسم,اهتزاز,لأعلى,1,30,0,30,,
,18,أنا,i_me,ضمائر وأشخاص,سبابة,الصدر,نقر,نحو الجسم,1,30,0,30,,
,19,أنت,you,ضمائر وأشخاص,سبابة,نحو المخاطَب,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,20,هو/هي,he_she,ضمائر وأشخاص,سبابة,أمام الجسم,جانبية,جانبي,1,30,0,30,,
,21,نحن,we,ضمائر وأشخاص,سبابة,الصدر,قوسية,نحو الجسم,1,30,0,30,,
,22,أب,father,ضمائر وأشخاص,إبهام,الجبهة,نقر,جانبي,1,30,0,30,,
,23,أم,mother,ضمائر وأشخاص,إبهام,الذقن,نقر,جانبي,1,30,0,30,,
,24,أخ,brother,ضمائر وأشخاص,سبابة,الجبهة,لأسفل,نحو الجسم,2,30,0,30,,
,25,أخت,sister,ضمائر وأشخاص,سبابة,الخد,لأسفل,نحو الجسم,2,30,0,30,,
,26,ابن,son,ضمائر وأشخاص,كف مسطّح,الخصر,قوسية,لأعلى,2,30,0,30,,
,27,بنت,daughter,ضمائر وأشخاص,سبابة,الخد,لأسفل,جانبي,1,30,0,30,,
,28,صديق,friend,ضمائر وأشخاص,سبابة معقوفة,الصدر,التقاء,نحو الجسم,2,30,0,30,,
,29,جار,neighbour,ضمائر وأشخاص,كف مسطّح,أمام الجسم,جانبية,نحو الجسم,2,30,0,30,,
,30,أصم,deaf,الصمم والتواصل,سبابة,الأذن,قوسية,نحو الجسم,1,30,0,30,,
,31,سامع,hearing,الصمم والتواصل,سبابة,الفم,دائرية,نحو الجسم,1,30,0,30,,
,32,لغة إشارة,sign_lang,الصمم والتواصل,كف مفتوح,أمام الجسم,تبادل اليدين,للأمام,2,30,0,30,,
